topic_id,topic_label,clean_topic_label,topic_size,share_2023_pp,share_2024_pp,share_2025_pp,delta_23_24_pp,delta_24_25_pp,delta_net_pp,delta_share_pp,avg_rating,avg_rating_z_year,prestige_concentration,trajectory_type
55,face identity / deepfake detection,face deepfake detection,46,0.2175264139216905,0.5204460966542751,0.340522133938706,0.3029196827325846,-0.1799239627155691,0.1229957200170155,0.1229957200170155,5.083695652173913,-0.1387797978176349,0.0434782608695652,spike then reversal
17,audio / speech / audiovisual generation,audio / speech / audiovisual generation,132,1.0565568676196395,1.0408921933085502,1.0594021944759742,-0.01566467431108931,0.01851000116742396,0.002845326856334651,0.0028453268563346,5.359469696969697,0.152267053655958,0.1212121212121212,stable
50,model quantization / low-bit inference,model quantization / low-bit inference,88,0.6215040397762586,0.8674101610904585,0.6242905788876277,0.24590612131419998,-0.2431195822028308,0.0027865391113691684,0.0027865391113691,5.33474025974026,0.043262536248093,0.1477272727272727,spike then reversal
47,quantum / classical learning,quantum / classical learning,42,0.3729024238657551,0.322180916976456,0.3216042376087779,-0.050721506889299106,-0.0005766793676781345,-0.05129818625697724,-0.0512981862569772,5.338095238095238,0.0650912404671188,0.2142857142857142,early decline / plateau
48,pruning / sparsity / compression,pruning / sparsity / compression,82,0.5593536357986327,0.9417596034696406,0.4918653045781309,0.3824059676710079,-0.4498942988915097,-0.06748833122050185,-0.0674883312205018,5.414634146341464,0.0325583284283177,0.0975609756097561,spike then reversal
19,federated learning,federated learning,132,1.0565568676196395,1.2391573729863692,0.9080590238365494,0.18260050536672967,-0.33109834914981984,-0.14849784378309017,-0.1484978437830901,5.196338383838383,-0.1069846178953742,0.053030303030303,spike then reversal
51,Bayesian inference,Bayesian optimization,77,0.6836544437538844,0.7187112763320942,0.4918653045781309,0.035056832578209796,-0.22684597175396332,-0.19178913917575352,-0.1917891391757534,5.468831168831168,0.1454331276459854,0.1818181818181818,late decline
42,adversarial robustness,backdoor attacks / defenses,75,0.7458048477315102,0.5947955390334573,0.5107832009080591,-0.15100930869805296,-0.08401233812539821,-0.23502164682345117,-0.2350216468234511,5.161777777777778,-0.1395245310941538,0.08,consistent decline
52,self-supervised learning,self-supervised learning,42,0.5282784338098198,0.322180916976456,0.2270147559591373,-0.20609751683336375,-0.0951661610173187,-0.3012636778506824,-0.3012636778506824,5.546031746031746,0.1218932001029677,0.1904761904761904,consistent decline
30,fairness / group fairness,fairness / group fairness,89,0.9322560596643878,0.6691449814126395,0.6053726825576996,-0.2631110782517484,-0.06377229885493985,-0.32688337710668824,-0.3268833771066882,5.419288389513109,0.0961471448939537,0.0674157303370786,consistent decline
