paper_id,topic_id,topic_prob
KF4LCXz8Np,-1,0.0
hHUZ5V9XFu,10,0.6183558217393771
txv7TnPvOi,0,0.3844335084285128
Y8p3ThNDmK,0,1.0
Bf6WFWNCUP,0,1.0
w7LxAZfDfv,0,0.6599854537173897
B7QRV4XXiK,-1,0.0
Yx8Sw2H5Q7,-1,0.0
gLfgyIWiWW,-1,0.0
WjDj6W872v,0,0.7391799385617984
HWNl9PAYIP,-1,0.0
wqIm0Qsgy0,2,1.0
n3XuYdvhNW,22,1.0
voG6nEW9BV,0,0.931366739282558
xBhvMu4J03,3,1.0
Kig2YJVYfq,6,1.0
KoQgA0coZ9,0,0.6089011993034946
zpVCITHknd,0,1.0
wRJqZRxDEX,0,0.8874719588931932
KsICioDlYs,-1,0.0
6vtZIoxZoJ,0,0.3997281149355376
MUwr2YVJfN,-1,0.0
gdzxWGGxWE,0,1.0
1cY5WLTN0k,0,0.6905722644352342
M4h1UAxI3b,13,1.0
vqGWslLeEw,0,1.0
SHyVaWGTO4,6,0.6445423192582047
8xTOtxinMH,-1,0.0
vM5VnNQ4n7,0,0.7069340402035857
eX6xDto3Ed,0,1.0
obCNIzeSrg,0,0.819036049842625
CQ38aC92WY,4,0.3187981906813913
Q3FXnCPZ1X,1,1.0
KTfAtro6vP,-1,0.0
1vvsIJtnnr,0,1.0
qSS9izTOpo,2,1.0
tJwyg9Zg9G,0,0.2434371962252976
eKFrXWb0sT,-1,0.0
YsYKv95jy9,-1,0.0
SCsJFNcSHQ,-1,0.0
Y6IGTNMdLT,-1,0.0
xMgO04HDOS,-1,0.0
wIlmx4bHrO,7,0.8835024340915612
8uOZ0kNji6,-1,0.0
IrjXmIKFyx,0,0.7468319177124004
bfmSc1ETT9,-1,0.0
8SUtvEZCF2,0,1.0
PzYAMXmIT3,-1,0.0
lM0xyViO90,0,1.0
rHAX0LRwk8,-1,0.0
8U31BCquNF,-1,0.0
Bj1QSgiBPP,-1,0.0
35nFSbEBks,-1,0.0
0EG6qUQ4xE,-1,0.0
ymHM1qRUeb,0,0.5634850199859414
4nSDDokpfK,19,1.0
NJPSvv0u3R,0,0.6781134732159984
YOZaej0ZC7,13,0.888153726991222
IT9mWLYNpQ,7,0.4536602972834671
F6j16Qr6Vk,7,0.7226365784914729
f56xMRb7Vt,0,0.7848292022226258
9qG6cMGUWk,0,0.8047530290679088
5Fr8Nwi5KF,0,0.5869947601591284
VPTZVVP4tm,1,1.0
t7ZowrDWVw,14,0.9472540723806624
GI4Pp01prW,0,0.4302419548865729
Ay3WvSrtpO,0,0.3811948154335229
FsQWxU5TOL,-1,0.0
Uafbv4rfJc,0,0.5619024413910968
p4PckNQR8k,-1,0.0
dikH9tdPi2,6,1.0
ginTcBUnL8,0,0.3250744697615729
nRfcVBsF9n,1,0.6768475363645504
GqtpYUCwnu,0,0.2673813147671151
zqOcW3R9rd,-1,0.0
pvSKVt3EsM,-1,0.0
X6Eapo5paw,0,0.2070994781570493
cdlmsnQkZ9,0,1.0
TczT2jiPT5,-1,0.0
PIDNxRRJ8w,20,0.5196248970839373
JCCi58IUsh,0,1.0
EldbUlZtbd,-1,0.0
fHyLsfMDIs,22,1.0
i6mMWNcTfu,-1,0.0
QoeOVgayLp,0,0.8947216289596682
7f6vH3mmhr,0,1.0
YE04aRkeZb,0,0.3861588338067043
SoLebIqHgZ,0,0.4973967319134071
99MHSB98yZ,0,0.5501629928115247
t3vPEjgNtj,6,1.0
B2DEcj4a7i,-1,0.0
KoFYzuwjCA,18,0.4647930609214236
SquMNyrk1O,0,0.6261518644267662
VhbV56AJNt,0,0.4271469294214655
0eXniewIvr,0,0.3613601667315819
pO7d6iFdnc,1,1.0
ES32O8mBK3,5,0.728114554734516
iMfPFPMsZo,-1,0.0
sTjW3JHs2V,-1,0.0
gzCS252hCO,18,1.0
2hhIDEHhkk,16,0.7216203331512836
B4tkwuzeiY,-1,0.0
nijJN0LHqM,7,0.6334108816703178
zD6lXmTPPh,0,0.8675344911769942
75v88kyyko,1,1.0
XhNlBvb4XV,1,1.0
gaXAjtHic2,0,1.0
QIBpzaDCAv,0,1.0
yjYwbZBJyl,0,1.0
m2getD1hpk,19,1.0
JK2oPrP8B3,11,0.8682508136537408
2f0dlMZlNb,6,1.0
4KV2xLeqPN,-1,0.0
kJIibP5bq2,-1,0.0
ZXbgVm3PSt,-1,0.0
uWNqy09dFW,0,1.0
Fe6fDq65aZ,-1,0.0
vZRiMjo826,22,1.0
0DpKUzl1Se,0,0.9738313034242744
X6dEqXIsEW,-1,0.0
0e4eiXoUn5,11,0.647146837112127
X9Vjq9Fuhq,7,0.5888137163728568
bbL20Oupi4,1,0.7685239217307563
UYl9IIsjq7,-1,0.0
KTZttLZekH,0,0.2012900439303157
ZIfhYAE2xg,0,0.1897282022323151
XRTxIBs2eu,5,0.7096260935123012
ox7aynitoW,-1,0.0
xx3qRKvG0T,0,0.6464861254717431
IJblKO45YU,0,1.0
3aVZhMfsyz,0,1.0
H1CQZqpgdQ,8,1.0
1h7Uh9zUXc,0,1.0
hiwF7aG1dt,0,0.977592879557746
HYo2Ao3hP8,-1,0.0
tz4ECtAu8e,0,0.8323457013755715
pb1OwZNgr2,-1,0.0
8FbuHeVU7D,4,1.0
AWpWaub6nf,0,0.9645482594477516
SOEF0i0G1z,-1,0.0
t2hEZadBBk,1,1.0
qHzEFxtheD,1,1.0
arkmhtYLL6,25,1.0
BJ1vOqh3hJ,0,0.1833871587555747
gpJw8f4tIU,0,1.0
mlxRLIy7kc,-1,0.0
BMVcW1IL9l,0,0.6427026066476401
GiUe0ZFiVe,0,0.8244047711382633
tIzbNQko3c,9,0.7391220288999326
IltQ87ZdT6,-1,0.0
8F3Lutda7R,0,0.7119263402722271
KexMPvrFgJ,0,0.8872809213477575
DVjyq5eCAD,13,1.0
Sf9goJtTCE,0,0.796909113307302
Xs6Xwc0Glj,0,0.7848292022226258
EoDpq18R30,1,1.0
u6BYyPuD29,6,0.5080340747731688
i0OmcF14Kf,-1,0.0
Tt6DrRCgJV,10,1.0
Dqn715Txgl,0,1.0
IMiGRqltQQ,0,0.8302197107736738
ZNBblMEP16,-1,0.0
XXPzBhOs4f,4,1.0
M7r2CO4tJC,0,0.6616283118671891
3gamyee9Yh,0,0.7681152856803418
090ORrOAPL,24,1.0
tLEDsaKuDh,-1,0.0
Yj3lFEyfnl,-1,0.0
y9U0IJ2uFr,-1,0.0
YLOJ4aKAka,-1,0.0
exPzwOhBgx,-1,0.0
prIwYTU9PV,-1,0.0
xbbknN9QFs,6,1.0
7eW6NzSE4g,-1,0.0
FgakGFpll1,1,1.0
6oiux75UDj,0,0.8302197107736738
WbFhFvjjKj,-1,0.0
DnVjDRLwVu,0,1.0
NBMIsOS6B7,0,1.0
TEpRn67828,7,0.4119770715687304
P1TCHxJwLB,-1,0.0
WVmus8NWE8,0,0.8685584037930588
l3HUgVHqGQ,5,0.3738884809494606
FXU4aR2uif,-1,0.0
leS8668NJm,0,0.8576313555472171
URI2aAQiQC,15,1.0
ZITOHWeAy7,1,1.0
dX9MjUtP1A,0,0.8302197107736738
Dt71xKyabn,1,1.0
hE7PG1lUZx,-1,0.0
dTj5tH94xv,0,0.8539237047705261
bRlEwWd7Vy,0,0.5322416019489953
AT6NaLPwy0,0,0.2602392747191445
7EMphtUgCI,-1,0.0
77Nq1KjmLl,10,1.0
OtU6VvXJue,24,1.0
fUZUoSLXw3,7,0.7295778172937188
fjXTcUUgaC,0,1.0
5aeyKAZr0L,0,1.0
jCPRG3FuHV,18,1.0
Xazhn0JoNx,-1,0.0
639RkUOmW8,0,0.4271469294214655
V5cQH7JbGo,8,0.847561668632033
fKwG6grp8o,0,0.9052782957913836
WPbIAdB6aQ,1,1.0
gIG8LvTLuc,-1,0.0
IEJzoOBM0z,3,0.510720755408005
3PjCt4kmRx,-1,0.0
e0pRF9tOtm,4,0.2188362899165117
loxinzXlCx,-1,0.0
PJhjkSFlbG,0,1.0
XlvsieCnAX,1,1.0
OJ0c6um1An,-1,0.0
EjMLpTgvKH,-1,0.0
